TI,PY,SO,DI,topic,topic_terms
Decoding Behcet’s Uveitis: an In-depth review of pathogenesis and therapeutic advances,2024,Journal of Neuroinflammation,10.1186/s12974-024-03123-6,5,"fmt, difficile, transplantation, fecal, cdi, microbiota transplantation, fecal microbiota, microbiota, treatment, infection"
Investigating the Role of the Sinus Microbiome and Cytokine Profile in the SNOT-22 Response After Functional Endoscopic Sinus Surgery in Chronic Rhinosinusitis Patients,2025,Journal of Clinical Medicine,10.3390/JCM14134446,5,"fmt, difficile, transplantation, fecal, cdi, microbiota transplantation, fecal microbiota, microbiota, treatment, infection"
Predictive Biomarkers and Resistance Mechanisms of Checkpoint Inhibitors in Malignant Solid Tumors,2024,International Journal of Molecular Sciences,10.3390/ijms25179659,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Unveiling the potential of Urolithin A in Cancer Therapy: Mechanistic Insights to Future Perspectives of Nanomedicine,2025,Nanotheranostics,10.7150/ntno.110966,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Cancer Resistance to Immunotherapy,2025,Immuno,10.3390/immuno5030032,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Emerging Mechanisms and Biomarkers Associated with T-Cells and B-Cells in Autoimmune Disorders,2025,Clinical Reviews in Allergy and Immunology,10.1007/s12016-025-09022-9,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
The Role of Immune Checkpoint Inhibitors in Cancer Therapy: Mechanism and Therapeutic Advances,2025,MedComm,10.1002/mco2.70412,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Isoorientin Alleviates DSS-Treated Acute Colitis in Mice by Regulating Intestinal Epithelial P-Glycoprotein (P-gp) Expression,2024,DNA and Cell Biology,10.1089/dna.2024.0101,7,"ibd, disease, inflammatory, bowel, inflammatory bowel, bowel disease, colitis, crohn, crohn disease, intestinal"
Microglia in Microbiota-Gut-Brain Axis: A Hub in Epilepsy,2024,Molecular Neurobiology,10.1007/s12035-024-04022-w,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Drug resistance in cancer: molecular mechanisms and emerging treatment strategies,2025,Molecular Biomedicine,10.1186/s43556-025-00352-w,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Multi-omics advances in understanding cancer drug resistance,2025,Biomedical Technology,10.1016/j.bmt.2025.100119,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
THE POTENTIAL AND LIMITATIONS OF MIR-150-3P AS A CISPLATIN SENSITIZER IN NSCLC: A COMMENT ON MIR-150-3P ENHANCES THE SENSITIVITY OF NON-SMALL CELL LUNG CANCER TO CISPLATIN BY DOWN-REGULATING THE EXPRESSION OF AKT2,2025,World Cancer Research Journal,10.32113/wcrj_202512_2969,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Advances and challenges in immunotherapy in head and neck cancer,2025,Frontiers in Immunology,10.3389/fimmu.2025.1596583,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
"Advances in understanding the role of inflammatory factors and immune cells in the pathology of epilepsy, mediated by neuroimmune interactions within the gut-brain axis",2025,Frontiers in Cell and Developmental Biology,10.3389/fcell.2025.1650909,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Real-world Effectiveness and Safety of Tofacitinib in Multi-Refractory Ulcerative Colitis: insights from a Belgian Cohort with prior Anti-TNF and Vedolizumab Exposure,2025,Acta Gastro-Enterologica Belgica,10.51821/88.3.14064,8,"colitis, ulcerative, ulcerative colitis, uc, disease, treatment, inflammatory, patients, pouch, therapy"
Bacteroides fragilis 839 ameliorates anti-tuberculosis drugs-induced liver injury by suppressing inflammation and regulating gut microbiota in mice,2025,Frontiers in Medicine,10.3389/fmed.2025.1538528,4,"infection, infections, drug, resistant, aeruginosa, bacterial, phage, tb, mdr, animal"
Clinical efficacy and molecular mechanism of Chinese medicine in the treatment of autoimmune thyroiditis,2024,Journal of Ethnopharmacology,10.1016/j.jep.2023.117689,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
"Explore the underlying oral efficacy of α-, β-, γ-Cyclodextrin against the ulcerative colitis using in vitro and in vivo studies assisted by network pharmacology",2024,Journal of Biomolecular Structure and Dynamics,10.1080/07391102.2023.2239901,8,"colitis, ulcerative, ulcerative colitis, uc, disease, treatment, inflammatory, patients, pouch, therapy"
Unlocking the power of the microbiome for successful cancer immunotherapy,2025,Journal for ImmunoTherapy of Cancer,10.1136/jitc-2024-011281,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
First-line treatment of fecal microbiota transplantation for immune-mediated colitis.,2024,Journal of Clinical Oncology,10.1200/JCO.2024.42.16_suppl.2660,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
"Tripartite interplay: immune reconstitution dynamics in AIDS, gut microbiota, and Helicobacter pylori infection: current advances and therapeutic prospects",2025,Gut Pathogens,10.1186/s13099-025-00726-z,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Dietary polyphenols ameliorate inflammatory bowel diseases: advances and future perspectives to maximize their nutraceutical applications,2025,Phytochemistry Reviews,10.1007/s11101-023-09866-z,7,"ibd, disease, inflammatory, bowel, inflammatory bowel, bowel disease, colitis, crohn, crohn disease, intestinal"
Identification of a microbial sub-community from the feral chicken gut that reduces Salmonella colonization and improves gut health in a gnotobiotic chicken model,2024,Microbiology Spectrum,10.1128/spectrum.01621-23,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Gut dysbiosis is associated with difficult-to-treat rheumatoid arthritis,2024,Frontiers in Medicine,10.3389/fmed.2024.1497756,7,"ibd, disease, inflammatory, bowel, inflammatory bowel, bowel disease, colitis, crohn, crohn disease, intestinal"
Effects of the Intestinal Microbiome and Metabolites on Neoadjuvant Chemotherapy Efficacy in Breast Cancer,2025,BIO Integration,10.15212/bioi-2025-0040,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Cellular and Molecular Determinants of Biologic Drugs Resistance and Therapeutic Failure in Inflammatory Bowel Disease,2024,International Journal of Molecular Sciences,10.3390/ijms25052789,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
"SITC vision: Opportunities for deeper understanding of mechanisms of anti-tumor activity, toxicity, and resistance to optimize cancer immunotherapy",2025,Journal for ImmunoTherapy of Cancer,10.1136/jitc-2025-011929,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Symbiotic symphony: Understanding host-microbiota dialogues in a spatial context,2024,Seminars in Cell and Developmental Biology,10.1016/j.semcdb.2024.03.001,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Linking ABC transporters to the hallmarks of cancer,2024,Trends in Cancer,10.1016/j.trecan.2023.09.013,6,"liver, bile, acid, protein, transporter, drug, bile acid, metabolism, transporters, ba"
Therapeutic effects of medicinal and food-based traditional herbal couples on type 2 diabetes mellitus based on pharmacodynamics and pharmacokinetics,2025,Frontiers in Pharmacology,10.3389/fphar.2025.1560271,3,"pancreatic, pancreatic cancer, pdac, cancer, ductal, adenocarcinoma, tumor, gemcitabine, pancreatic ductal, resistance"
Mechanisms of immunotherapy resistance in small cell lung cancer,2024,Cancer Drug Resistance,10.20517/cdr.2024.154,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Pipeline treatments on psoriatic disease,2025,Best Practice and Research: Clinical Rheumatology,10.1016/j.berh.2025.102090,6,"liver, bile, acid, protein, transporter, drug, bile acid, metabolism, transporters, ba"
Lessons from the past: what does the future of clinical management of infection after solid organ transplantation look like?,2025,Expert Review of Anti-Infective Therapy,10.1080/14787210.2025.2513461,10,"transplantation, gvhd, graft, graft versus, versus, versus host, acute, cell transplantation, host disease, agvhd"
Design and application of synthetic human gut microbial communities,2025,Gut Microbes,10.1080/19490976.2025.2575923,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Mechanisms and Therapeutic Advances of PXR in Metabolic Diseases and Cancer,2025,International Journal of Molecular Sciences,10.3390/ijms26168029,6,"liver, bile, acid, protein, transporter, drug, bile acid, metabolism, transporters, ba"
Preclinical activity of allogeneic SLAMF7-specific CAR T-cells (UCARTCS1) in multiple myeloma,2024,Journal for ImmunoTherapy of Cancer,10.1136/jitc-2023-008769,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Ocular Manifestations in Children with Vernal Keratoconjunctivitis,2025,Children,10.3390/children12050609,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Washed microbiota transplantation combined with biological agents promotes histological remission in refractory severe ulcerative colitis with recurrent intestinal infection: A case report,2024,Arab Journal of Gastroenterology,10.1016/j.ajg.2024.07.008,5,"fmt, difficile, transplantation, fecal, cdi, microbiota transplantation, fecal microbiota, microbiota, treatment, infection"
Emerging roles of circular RNAs in regulating the hallmarks of thyroid cancer,2024,Cancer Gene Therapy,10.1038/s41417-024-00736-0,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Inulin Reverses Intestinal Mrp2 Downregulation in a Diet-Induced Obesity Mouse Model: Role of Intestinal Microbiota as a Pivotal Modulator,2025,Pharmaceutics,10.3390/pharmaceutics17121575,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
"Deciphering and overcoming Anti-PD-1 resistance in Melanoma: A comprehensive review of Mechanisms, biomarker Developments, and therapeutic strategies",2024,International Immunopharmacology,10.1016/j.intimp.2024.111989,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
First Exploration of the Altered Microbial Gut–Lung Axis in the Pathogenesis of Human Refractory Chronic Cough,2024,Lung,10.1007/s00408-024-00681-7,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
An olsalazine nanoneedle-embedded inulin hydrogel reshapes intestinal homeostasis in inflammatory bowel disease,2024,Bioactive Materials,10.1016/j.bioactmat.2023.10.028,7,"ibd, disease, inflammatory, bowel, inflammatory bowel, bowel disease, colitis, crohn, crohn disease, intestinal"
"Microdose Cocktail Study Reveals the Activity and Key Influencing Factors of OATP1B, P-Gp, BCRP, and CYP3A in End-Stage Renal Disease Patients",2025,Clinical Pharmacology and Therapeutics,10.1002/cpt.3546,6,"liver, bile, acid, protein, transporter, drug, bile acid, metabolism, transporters, ba"
The Malignant Transformation of Viral Hepatitis to Hepatocellular Carcinoma: Mechanisms and Interventions,2025,MedComm,10.1002/mco2.70121,9,"hcc, liver, hepatocellular, carcinoma, hepatocellular carcinoma, tumor, immune, sorafenib, resistance, immunotherapy"
Coconut Water Induces Clinical Remission in Mild to Moderate Ulcerative Colitis: Double-blind Placebo-controlled Trial,2024,Clinical Gastroenterology and Hepatology,10.1016/j.cgh.2024.01.013,8,"colitis, ulcerative, ulcerative colitis, uc, disease, treatment, inflammatory, patients, pouch, therapy"
"Incidence, risk factors and therapy response of acute graft-versus-host disease after myeloablative hematopoietic stem cell transplantation with posttransplant cyclophosphamide",2024,Bone Marrow Transplantation,10.1038/s41409-024-02391-3,10,"transplantation, gvhd, graft, graft versus, versus, versus host, acute, cell transplantation, host disease, agvhd"
Understanding and overcoming resistance to immunotherapy in genitourinary cancers,2024,Cancer Biology and Therapy,10.1080/15384047.2024.2342599,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Evaluation of Plant Essential Oils as Natural Alternatives for Alcohol-based Mouthwashes: Spotlight-Lemongrass and Citronella Java,2024,European Journal of General Dentistry,10.1055/s-0043-1777768,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Biological mechanisms of resistance to immune checkpoint inhibitors and overcoming this resistance: Challenges in medical oncology,2024,Regulatory Mechanisms in Biosystems,10.15421/022412,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Facts and Hopes: Toward the Next Quantum Leap in Melanoma,2025,Clinical Cancer Research,10.1158/1078-0432.CCR-25-0278,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
"Pouchitis unveiled: exploring clinical features, diagnosis, and cutting-edge treatments",2025,Therapeutic Advances in Gastroenterology,10.1177/17562848251316412,8,"colitis, ulcerative, ulcerative colitis, uc, disease, treatment, inflammatory, patients, pouch, therapy"
Oesophageal squamous cell carcinoma in a blue-fronted Amazon parrot (Amazona aestiva),2024,Veterinary Record Case Reports,10.1002/vrc2.943,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
"Pathophysiological mechanisms, diagnostic innovations, and multimodal therapeutic strategies for slow transit constipation",2025,BMC Gastroenterology,10.1186/s12876-025-04387-9,6,"liver, bile, acid, protein, transporter, drug, bile acid, metabolism, transporters, ba"
A deep learning-driven discovery of berberine derivatives as novel antibacterial against multidrug-resistant Helicobacter pylori,2024,Signal Transduction and Targeted Therapy,10.1038/s41392-024-01895-0,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
